2012	The Dark Knight Rises	actor	Luke Rutherford	Mercenary Security #2
2012	The Dark Knight Rises	actor	Phillip Browne	Mercenary Security #3
2012	The Dark Knight Rises	actor	Christopher Judge	Mercenary Security #4
2012	The Dark Knight Rises	actor	Aldo Bigante	2nd Cop with Gordon
2012	The Dark Knight Rises	actor	Charles Jackson Coyne	Anthem Singer
2012	The Dark Knight Rises	actor	Patrick Leahy	Board Member #2
2012	The Dark Knight Rises	actor	Todd Gearhart	Uniform #2
2012	The Dark Knight Rises	actor	Marc Abbink	Gotham City Police Officer
2012	The Dark Knight Rises	actor	Joseph M. Abbott	Irish Street Thug
2012	The Dark Knight Rises	actor	Donnie Adkins	Football Fan
2012	The Dark Knight Rises	actor	Siddhant Adlakha	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Lucia M. Aguirre	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Vanessa Alameda	Mercenary
2012	The Dark Knight Rises	actor	Chris Albright	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Charlie Alejandro	Gotham City Police Officer
2012	The Dark Knight Rises	actor	Brandon Allentoff	Gotham Citizen
2012	The Dark Knight Rises	actor	Tony Amen	Prisoner
2012	The Dark Knight Rises	actor	Sal Ardisi	Police Officer
2012	The Dark Knight Rises	actor	Robert Arensen	Former Upscaler
2012	The Dark Knight Rises	actor	Diedra Arthur-O'Ree	Football Fan
2012	The Dark Knight Rises	actor	James Avise	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Grant Babbitt	Angry Mobster / Prisoner
2012	The Dark Knight Rises	actor	Fileena Bahris	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Jennifer Nicole Baker	Football Game Attendee
2012	The Dark Knight Rises	actor	Stephanie Bankosh	Football Game Attendee
2012	The Dark Knight Rises	actor	David Barnes	Prisoner
2012	The Dark Knight Rises	actor	Blair Barnette	Ballroom Dancer
2012	The Dark Knight Rises	actor	Joseph Basile	Mercenary Soldier Protector
2012	The Dark Knight Rises	actor	Tommy Bayiokos	Gotham City Police Officer
2012	The Dark Knight Rises	actor	Vance Beckman	Police Officer
2012	The Dark Knight Rises	actor	Cameron Bell	Bane Worker
2012	The Dark Knight Rises	actor	Tiffany Bell	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Benjamin Berkowitz	Cop
2012	The Dark Knight Rises	actor	Oscar Bermudez	Handsome Man in Bar
2012	The Dark Knight Rises	actor	Greg Beville	Gotham Football Fan
2012	The Dark Knight Rises	actor	Nicholas William Bishop	Police Officer
2012	The Dark Knight Rises	actor	Brandon Blackwell	S.W.A.T. Guy
2012	The Dark Knight Rises	actor	James Blankenfeld	Gotham City Police Officer
2012	The Dark Knight Rises	actor	Todd Blood	Bain's Henchmen / Extra
2012	The Dark Knight Rises	actor	Todd Bobenrieth	Prisoner
2012	The Dark Knight Rises	actor	Ryan C. Bogdewic	Football Fan
2012	The Dark Knight Rises	actor	Nathan Bohatch	Sports Fan
2012	The Dark Knight Rises	actor	Rick Bolander	Mercenary
2012	The Dark Knight Rises	actor	Brendan Boyce	Thug
2012	The Dark Knight Rises	actor	Alonna Breisch	Sports Fan
2012	The Dark Knight Rises	actor	Kyle Patrick Brennan	Police Officer
2012	The Dark Knight Rises	actor	Roger Brenner	Gotham City Stock Broker
2012	The Dark Knight Rises	actor	Luke Broome	Stadium Extra
2012	The Dark Knight Rises	actor	Corey Brown	Police Officer
2012	The Dark Knight Rises	actor	Graham Brown	Thug
2012	The Dark Knight Rises	actor	Ralph Browning	Police Officer
2012	The Dark Knight Rises	actor	Star Bunner	Police Officer
2012	The Dark Knight Rises	actor	Ryan Butler	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Steven Butros	Stock Broker
2012	The Dark Knight Rises	actor	Timothy Butts	Gang Member
2012	The Dark Knight Rises	actor	Julian Camacho	Gotham Rogues Fan
2012	The Dark Knight Rises	actor	Norman Cardaro	Gotham Rogue Fan
2012	The Dark Knight Rises	actor	Robert Carmona-Borjas	Police Officer
2012	The Dark Knight Rises	actor	Samuel Caruana	Orphan
2012	The Dark Knight Rises	actor	John Cashin	Thug
2012	The Dark Knight Rises	actor	Stafford Chavis	Police Officer
2012	The Dark Knight Rises	actor	Jennifer Pearl Childers	Mercenary Victim
2012	The Dark Knight Rises	actor	Lonell R. Childred	Reporter
2012	The Dark Knight Rises	actor	Anthony Chisholm	Prisoner
2012	The Dark Knight Rises	actor	Scott Churchson	Gotham City Police Officer
2012	The Dark Knight Rises	actor	Matt Cipro	NYSE Day Trader
2012	The Dark Knight Rises	actor	Ryan Clark	Gotham Rogues Player
2012	The Dark Knight Rises	actor	Carl Clemons	Banes's Henchmen
2012	The Dark Knight Rises	actor	Willie Colon	Gotham Rogues Player
2012	The Dark Knight Rises	actor	Kenneth Coombs	Gotham Airport Passanger
2012	The Dark Knight Rises	actor	Daniel R. Cooper	NYSE Sercurity Guard
2012	The Dark Knight Rises	actor	Hannah Cooper-Dean	Flight Passenger
2012	The Dark Knight Rises	actor	J.W. Cornelius	Blackgate Prisoner
2012	The Dark Knight Rises	actor	Bill Cowher	Gotham Rogues Coach
2012	The Dark Knight Rises	actor	Scot Cregan	Gotham National Guard Soldier
2012	The Dark Knight Rises	actor	Ruben Dario Cruz II	Gotham Citizen
